Beer Type,Beer Type Description,Beer Style,Style Description,IBU,ABV Range,SRM,Common Malts Used
Stout,"A very dark, roasty, bitter, creamy ale.",Tropical Stout,"Tropical Stout is a high-alcohol, sweet stout with rich malt flavors. It is brewed with tropical fruits and sometimes spices for an exotic profile.",30-50,6.0-8.0%,30-50,"Pale Malt, Roasted Barley, Molasses"
Stout,"A very dark, roasty, bitter, creamy ale.",Foreign Extra Stout,"Foreign Extra Stout is a higher-alcohol stout with intense roasted malt flavors, dark chocolate, and coffee. It has a slightly sweeter profile than other stouts.",40-60,6.0-8.0%,30-50,"Pale Malt, Roasted Barley, Chocolate Malt"
Stout,"A very dark, roasty, bitter, creamy ale.",American Stout,"American Stout is a robust stout with a pronounced hop character along with roasted malt, chocolate, and coffee flavors. It is typically more bitter than its English counterparts.",35-50,5.0-7.0%,30-50,"Pale Malt, Roasted Barley, Crystal Malt"
Stout,"A very dark, roasty, bitter, creamy ale.",Imperial Stout,"Imperial Stout is a strong, rich stout with high alcohol content. It features intense roasted malt flavors, dark chocolate, coffee, and often a warming, boozy finish.",50-90,8.0-12.0%,40-60,"Pale Malt, Roasted Barley, Chocolate Malt"
Stout,"A very dark, roasty, bitter, creamy ale.",Chocolate Stout,"Chocolate Stout is a rich, dark beer with pronounced chocolate flavors, often complemented by roasted malt and coffee notes. The chocolate flavor is either from cocoa, chocolate malts, or actual chocolate added to the brew.",30-50,5.0-8.0%,30-50,"Pale Malt, Chocolate Malt, Cocoa"
Stout,"A very dark, roasty, bitter, creamy ale.",Coffee Stout,"Coffee Stout is a dark, rich beer infused with coffee flavors. The roasted malt base is complemented by the bitterness and complexity of coffee, which adds notes of chocolate, caramel, and a roasted aroma.",30-50,5.5-8.0%,30-50,"Pale Malt, Chocolate Malt, Coffee"
Strong Ale,"Significant alcoholic strength, tilted toward a sweeter, maltier balance.",British Strong Ale,"British Strong Ale is a full-bodied, malty beer with a noticeable sweetness. It typically has a rich, dark fruit flavor and low hop bitterness.",30-50,6.0-8.0%,20-35,"Pale Malt, Caramel Malt, Munich Malt"
Strong Ale,"Significant alcoholic strength, tilted toward a sweeter, maltier balance.",Old Ale,"Old Ale is a rich, malty beer with deep, fruity flavors, often with a touch of oxidation. It can have a slightly sweet and vinous character, with a smooth finish.",30-50,6.0-8.0%,20-40,"Pale Malt, Caramel Malt, Dark Sugar"
Strong Ale,"Significant alcoholic strength, tilted toward a sweeter, maltier balance.",Wee Heavy,"Wee Heavy is a Scottish strong ale, known for its malt-forward character, with rich caramel, toffee, and dark fruit flavors. It has a smooth and warming finish.",20-40,6.5-10.0%,20-30,"Pale Malt, Caramel Malt, Munich Malt"
Strong Ale,"Significant alcoholic strength, tilted toward a sweeter, maltier balance.",English Barleywine,"English Barleywine is a strong, malt-driven ale with a pronounced sweetness and dark fruit flavors. It has a warming alcohol presence and low hop bitterness.",35-70,8.0-12.0%,20-40,"Pale Malt, Caramel Malt, Dark Fruit"
Strong Ale,"Significant alcoholic strength, tilted toward a sweeter, maltier balance.",American Strong Ale,"American Strong Ale is a bold, malt-forward beer with a pronounced sweetness and higher hop bitterness. It has flavors of caramel, toffee, and dark fruit with a warming alcohol presence.",40-70,7.5-10.0%,20-40,"Pale Malt, Crystal Malt, Caramel Malt"
Strong Ale,"Significant alcoholic strength, tilted toward a sweeter, maltier balance.",American Barleywine,"American Barleywine is a stronger, hoppier version of the English Barleywine, with a more pronounced hop bitterness and a higher alcohol content. It features caramel, dark fruit, and toasty malt flavors.",50-100,8.0-12.0%,20-40,"Pale Malt, Crystal Malt, Dark Sugar"
Strong Ale,"Significant alcoholic strength, tilted toward a sweeter, maltier balance.",Wheatwine,"Wheatwine is a strong ale brewed with a significant amount of wheat malt. It has a malty, slightly sweet flavor with hints of bread, caramel, and dark fruit, with a smooth mouthfeel.",20-40,8.0-12.0%,20-40,"Wheat Malt, Pale Malt, Crystal Malt"
Strong Ale,"Significant alcoholic strength, tilted toward a sweeter, maltier balance.",Belgian Golden Strong Ale,"Belgian Golden Strong Ale is a highly carbonated, strong beer with a dry finish and complex fruity and spicy flavors. It has a noticeable alcohol presence, balanced by a slightly sweet malt character.",20-35,8.0-11.0%,20-35,"Pilsner Malt, Sugar, Saaz Hops"
Strong Ale,"Significant alcoholic strength, tilted toward a sweeter, maltier balance.",Belgian Tripel,"Belgian Tripel is a strong, pale beer with a spicy, fruity aroma. It is well-balanced with malt sweetness and a warming alcohol presence, often with citrus and apple notes.",20-35,7.5-9.0%,18-35,"Pilsner Malt, Candi Sugar, Saaz Hops"
Strong Ale,"Significant alcoholic strength, tilted toward a sweeter, maltier balance.",Belgian Dark Strong Ale,"Belgian Dark Strong Ale is a rich, complex beer with deep malt flavors of caramel, dark fruit, and brown sugar. It has a warming alcohol presence and a smooth finish.",20-35,8.0-12.0%,30-50,"Pilsner Malt, Dark Sugar, Munich Malt"
Strong Ale,"Significant alcoholic strength, tilted toward a sweeter, maltier balance.",Barleywine,"Barleywine is a strong, malty ale with a complex flavor profile that includes toffee, caramel, and dark fruit flavors. It is rich, with a high alcohol content and a warming finish.",40-70,8.0-12.0%,10-20,"Pale Malt, Crystal Malt, Munich Malt"
Sour Ale,"Intentionally acidic, tart or sour taste.",Flanders Red Ale,"Flanders Red Ale is a complex, tart, and fruity beer with deep red or amber color. It has a balanced blend of oak, dark fruit, and sour flavors, with a vinous character.",10-20,6.0-8.0%,10-20,"Pale Malt, Munich Malt, Special B Malt"
Sour Ale,"Intentionally acidic, tart or sour taste.",Oud Bruin,"Oud Bruin is a traditional Belgian sour ale with a dark amber to brown color. It has a malt-forward flavor with notes of caramel and dark fruit, complemented by a tart, vinegary sourness.",10-25,4.5-6.5%,10-25,"Pale Malt, Munich Malt, Dark Sugar"
Sour Ale,"Intentionally acidic, tart or sour taste.",Berliner Weisse,"Berliner Weisse is a tart, low-alcohol wheat beer known for its refreshing acidity. It has a clean, dry finish and can be served with flavored syrups like raspberry or woodruff.",3-8,2.8-4.2%,2-6,"Wheat Malt, Pilsner Malt"
